country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Israel,163000000,84000000,261000000,396000000,417000000,437000000,319000000,282000000,961000000,1380000000,1130000000,1350000000,898000000,1980000000,1180000000,1640000000,1940000000,1260000000,1340000000,710000000,1270000000,1660000000,869000000,491000000,288000000,310000000,1190000000,1080000000,582000000,24000000,81000000,1210000000,1300000000,716000000,757000000,364000000,117000000,67000000,1290000000,1190000000,353000000,116000000,349000000,189000000,845000000,1130000000,1120000000,832000000,676000000,153000000,67000000,85000000,120000000,209000000,541000000,681000000,605000000,536000000,543000000,507000000
Italy,390000000,426000000,666000000,997000000,1120000000,722000000,395000000,106000000,192000000,481000000,555000000,1090000000,1750000000,1000000000,1110000000,1020000000,711000000,518000000,692000000,605000000,479000000,133000000,251000000,307000000,273000000,206000000,199000000,183000000,179000000,196000000,158000000,206000000,188000000,208000000,201000000,334000000,286000000,519000000,56000000,25000000,241000000,221000000,239000000,564000000,451000000,162000000,423000000,515000000,214000000,101000000,103000000,286000000,207000000,81000000,139000000,251000000,759000000,734000000,317000000,186000000
Jamaica,,,1000000,1000000,0,,,3000000,,,,1000000,,13000000,8000000,4000000,1000000,3000000,4000000,,,0,,,,5000000,3000000,,,4000000,,,,,,,,,10000000,10000000,,,,,,10000000,10000000,13000000,2000000,,1000000,,,1000000,,2000000,22000000,,13000000,3000000
Japan,859000000,338000000,223000000,204000000,1810000000,1210000000,324000000,619000000,559000000,531000000,658000000,781000000,677000000,640000000,1010000000,1690000000,1670000000,975000000,1090000000,997000000,1070000000,1350000000,1460000000,1710000000,2060000000,1980000000,1900000000,1950000000,2010000000,2300000000,2700000000,2950000000,2520000000,2140000000,1030000000,1240000000,857000000,824000000,1470000000,1270000000,494000000,442000000,446000000,483000000,403000000,398000000,480000000,517000000,692000000,621000000,403000000,304000000,223000000,277000000,293000000,329000000,330000000,453000000,572000000,891000000
Jordan,30000000,15000000,55000000,39000000,33000000,55000000,92000000,126000000,48000000,238000000,130000000,68000000,66000000,87000000,184000000,369000000,334000000,461000000,590000000,276000000,383000000,404000000,1060000000,789000000,480000000,293000000,250000000,143000000,247000000,59000000,16000000,24000000,,1000000,5000000,19000000,75000000,77000000,248000000,64000000,133000000,160000000,132000000,281000000,168000000,49000000,53000000,181000000,161000000,234000000,89000000,215000000,176000000,75000000,196000000,233000000,233000000,390000000,215000000,85000000
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99000000,2000000,64000000,,72000000,121000000,139000000,20000000,,47000000,42000000,44000000,82000000,25000000,39000000,58000000,62000000,94000000,141000000,95000000,444000000,248000000,214000000,304000000,312000000
Kenya,,,,,6000000,15000000,19000000,2000000,2000000,3000000,0,20000000,9000000,2000000,28000000,25000000,17000000,58000000,211000000,56000000,119000000,144000000,91000000,20000000,12000000,6000000,26000000,178000000,,23000000,42000000,14000000,,,30000000,,,58000000,,,12000000,,,,,,,10000000,,34000000,116000000,14000000,62000000,1000000,17000000,30000000,29000000,16000000,5000000,32000000
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,44000000,,10000000,34000000,46000000,25000000,8000000,,104000000,97000000,54000000,111000000,30000000,,5000000,77000000,230000000,490000000,487000000,198000000,35000000,13000000,175000000,291000000,494000000,621000000,170000000,50000000,6000000,132000000,325000000,516000000,896000000,694000000,35000000,632000000,1190000000,482000000,46000000,212000000,245000000,67000000,23000000,45000000,2000000,12000000,5000000,288000000,5000000,9000000,85000000,113000000,31000000,73000000,692000000,339000000,162000000,111000000,95000000,70000000
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000000,5000000,3000000,2000000,,,,,,,,,4000000,9000000,13000000,1000000,15000000
Lao,3000000,4000000,19000000,15000000,7000000,7000000,14000000,14000000,4000000,6000000,32000000,17000000,14000000,43000000,1000000,37000000,21000000,134000000,26000000,,35000000,54000000,2000000,94000000,26000000,62000000,,29000000,18000000,,8000000,,,,,,,44000000,21000000,30000000,7000000,,,0,,4000000,,,7000000,26000000,,14000000,19000000,19000000,,7000000,,3000000,109000000,18000000
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8000000,12000000,14000000,0,0,0,4000000,3000000,13000000,3000000,25000000,12000000,4000000,9000000,51000000,44000000,11000000,15000000,27000000,9000000,5000000,5000000,1000000,24000000,29000000,19000000,25000000
Lebanon,,3000000,13000000,18000000,,34000000,67000000,75000000,1000000,,,7000000,49000000,41000000,28000000,11000000,3000000,8000000,2000000,19000000,37000000,9000000,36000000,93000000,192000000,71000000,,,,,,,40000000,40000000,18000000,42000000,27000000,9000000,7000000,4000000,4000000,,,,,1000000,,5000000,1000000,52000000,64000000,1000000,31000000,24000000,6000000,48000000,28000000,50000000,52000000,67000000
Lesotho,,,,,,,,,,,,,,,,,,1000000,,5000000,3000000,,,1000000,,0,10000000,,,8000000,,4000000,,,,,,,5000000,,,6000000,,,1000000,,1000000,,,,,,,,,,,1000000,1000000,1000000
Liberia,,,,,2000000,,,18000000,,,,0,1000000,,,,2000000,,1000000,,,,,,,,4000000,7000000,,12000000,3000000,,,,,,,,,1000000,8000000,,,,,,,,,,,,,,,,,,,
Libya,14000000,17000000,2000000,3000000,15000000,9000000,26000000,12000000,57000000,155000000,371000000,555000000,555000000,750000000,1760000000,1670000000,1850000000,3060000000,4220000000,3320000000,2970000000,3160000000,2750000000,1410000000,746000000,753000000,409000000,184000000,9000000,218000000,10000000,,,,,,,,,9000000,,,,,,1000000,16000000,16000000,16000000,22000000,37000000,8000000,73000000,109000000,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000000,10000000,,4000000,15000000,,15000000,5000000,6000000,16000000,12000000,1000000,47000000,9000000,52000000,4000000,27000000,27000000,8000000,1000000,1000000,73000000,3000000,13000000,28000000,45000000,6000000,39000000
Luxembourg,,,,,,,,,,,,,,,1000000,,,,,,,,1000000,,,,,,,,,,,,,,3000000,,,1000000,,,,1000000,,,,,,7000000,7000000,,1000000,,,,0,0,,
Madagascar,,3000000,,2000000,0,7000000,,12000000,1000000,1000000,,0,0,,18000000,6000000,,,,64000000,43000000,0,,8000000,,6000000,,,,,,,,,,,22000000,,,,,,,,,,,,,0,,,,0,,,,,1000000,4000000
Malawi,,,,,5000000,,,,,,,,0,,,,2000000,6000000,7000000,8000000,14000000,14000000,,,1000000,6000000,10000000,1000000,2000000,3000000,10000000,,,,2000000,,,,,,,,,,,,,,3000000,,,,1000000,2000000,2000000,2000000,1000000,,,
Malaysia,5000000,2000000,31000000,75000000,97000000,10000000,58000000,127000000,90000000,78000000,25000000,195000000,113000000,206000000,50000000,85000000,394000000,146000000,72000000,314000000,127000000,56000000,25000000,268000000,545000000,404000000,128000000,17000000,14000000,38000000,,34000000,13000000,13000000,308000000,848000000,33000000,555000000,39000000,720000000,26000000,26000000,153000000,147000000,65000000,59000000,408000000,526000000,508000000,1510000000,423000000,5000000,47000000,71000000,71000000,104000000,266000000,191000000,98000000,70000000
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,,,,,0,8000000,,,,,,,,15000000,,,,5000000,,,5000000,,,,,,
Mali,,3000000,10000000,4000000,,,1000000,10000000,,2000000,,15000000,,,,9000000,89000000,,,,,91000000,4000000,15000000,13000000,0,,,1000000,,1000000,,,,0,,,9000000,4000000,,7000000,,1000000,4000000,,13000000,,8000000,3000000,10000000,,0,9000000,6000000,1000000,,21000000,31000000,25000000,3000000
Malta,,,,,,,,,,,,,0,0,,,,,8000000,,1000000,,,,,,,,,,,,13000000,,,0,1000000,6000000,0,,0,0,,,,18000000,,,,,,8000000,8000000,,12000000,,6000000,8000000,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,2000000,1000000,1000000,6000000,1000000,1000000,,,,,11000000,13000000,,1000000,5000000,5000000,10000000,24000000,17000000,24000000,,19000000,16000000,,0,3000000,,,,8000000,16000000,18000000,,,16000000,2000000,2000000,8000000,4000000,,31000000,,27000000,7000000,,,,,,,9000000,5000000,11000000,,7000000,1000000,35000000,,1000000,34000000
Mauritius,,,,,,,,,0,,,0,,,2000000,,,,,3000000,,,,,,1000000,,,,,6000000,,,8000000,,,29000000,1000000,,,,,,,6000000,,,,,,,,,,28000000,,26000000,19000000,,
Mexico,6000000,44000000,107000000,60000000,38000000,11000000,21000000,14000000,0,,82000000,48000000,15000000,158000000,61000000,104000000,69000000,39000000,68000000,61000000,75000000,115000000,342000000,116000000,,8000000,143000000,154000000,97000000,63000000,34000000,39000000,19000000,160000000,128000000,50000000,87000000,485000000,23000000,141000000,227000000,152000000,97000000,31000000,320000000,33000000,75000000,,22000000,59000000,112000000,229000000,260000000,52000000,87000000,320000000,314000000,210000000,16000000,3000000
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,14000000,,,,,,,6000000,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000,,3000000,9000000,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,10000000,66000000,90000000,86000000,120000000,137000000,116000000,63000000,15000000,14000000,15000000,13000000,8000000,58000000,76000000,190000000,26000000,24000000,42000000,29000000,60000000,72000000,152000000,114000000,110000000,98000000,27000000,36000000,27000000,,,,,,,,,,,,,,,,,,,,14000000,,27000000,3000000,79000000,,,74000000,,,,17000000
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,0,,15000000,
Morocco,22000000,37000000,93000000,14000000,16000000,81000000,151000000,138000000,79000000,38000000,77000000,1000000,,21000000,198000000,206000000,216000000,408000000,419000000,723000000,453000000,777000000,513000000,382000000,59000000,38000000,31000000,32000000,111000000,126000000,137000000,62000000,17000000,98000000,117000000,28000000,89000000,220000000,,60000000,125000000,11000000,156000000,12000000,14000000,101000000,47000000,27000000,46000000,39000000,306000000,1400000000,896000000,76000000,560000000,47000000,287000000,485000000,387000000,26000000
Mozambique,,,,,,,,,,,,,,,,29000000,33000000,148000000,492000000,111000000,54000000,60000000,64000000,59000000,94000000,73000000,6000000,,,,,,,,,,,,,2000000,0,,,1000000,,,,,,,,0,0,9000000,15000000,0,2000000,,,22000000
Myanmar,6000000,17000000,14000000,27000000,18000000,19000000,3000000,13000000,6000000,22000000,4000000,23000000,4000000,,,53000000,10000000,9000000,25000000,19000000,40000000,,38000000,,,,8000000,,,34000000,266000000,232000000,64000000,323000000,97000000,223000000,118000000,231000000,156000000,141000000,16000000,149000000,157000000,95000000,194000000,160000000,175000000,151000000,77000000,59000000,56000000,667000000,398000000,251000000,100000000,248000000,237000000,101000000,168000000,252000000
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,4000000,,4000000,5000000,,,21000000,11000000,,16000000,,72000000,6000000,66000000,15000000,3000000,1000000,57000000,9000000,2000000,,3000000,35000000,,
Nepal,,,,,,2000000,0,,,,8000000,8000000,3000000,1000000,2000000,15000000,6000000,,,,,1000000,,,3000000,3000000,,,,1000000,,,1000000,,,1000000,,,,,,11000000,9000000,9000000,34000000,6000000,,,1000000,,,3000000,,,5000000,14000000,8000000,1000000,7000000,17000000
Netherlands,294000000,309000000,370000000,711000000,910000000,745000000,189000000,731000000,266000000,549000000,690000000,689000000,656000000,21000000,40000000,96000000,266000000,579000000,704000000,780000000,626000000,762000000,1250000000,1360000000,1200000000,901000000,815000000,632000000,383000000,709000000,276000000,324000000,241000000,144000000,211000000,84000000,205000000,126000000,271000000,278000000,123000000,164000000,244000000,125000000,127000000,98000000,317000000,237000000,154000000,293000000,190000000,134000000,363000000,331000000,11000000,64000000,79000000,35000000,142000000,490000000
New Zealand,119000000,111000000,8000000,5000000,,10000000,407000000,4000000,56000000,,168000000,133000000,20000000,19000000,7000000,48000000,7000000,34000000,,,,31000000,62000000,100000000,41000000,9000000,29000000,5000000,59000000,26000000,23000000,42000000,55000000,36000000,16000000,7000000,7000000,309000000,15000000,304000000,,45000000,17000000,108000000,49000000,10000000,5000000,81000000,2000000,56000000,58000000,28000000,30000000,26000000,84000000,90000000,,,6000000,13000000
Nicaragua,2000000,8000000,6000000,8000000,0,0,2000000,,,,,5000000,5000000,10000000,,,8000000,19000000,13000000,,,41000000,67000000,47000000,165000000,87000000,88000000,151000000,63000000,14000000,102000000,1000000,,,,,,,,,,,,,,,,14000000,,14000000,,,,,13000000,15000000,86000000,7000000,,13000000
Niger,1000000,1000000,,,1000000,1000000,,,,2000000,1000000,12000000,,,3000000,,,,2000000,57000000,7000000,,6000000,13000000,3000000,,3000000,,,,,7000000,,,,,,3000000,,,,,,5000000,,,,,8000000,1000000,0,0,,13000000,4000000,9000000,,3000000,,3000000
Nigeria,,1000000,8000000,9000000,2000000,116000000,99000000,45000000,46000000,39000000,14000000,12000000,113000000,7000000,24000000,439000000,104000000,68000000,136000000,87000000,503000000,330000000,620000000,42000000,359000000,576000000,216000000,115000000,62000000,15000000,18000000,3000000,59000000,41000000,95000000,2000000,15000000,1000000,,,36000000,9000000,6000000,62000000,11000000,,15000000,60000000,33000000,65000000,188000000,62000000,30000000,30000000,218000000,186000000,50000000,41000000,49000000,30000000
North Korea,405000000,69000000,181000000,197000000,168000000,117000000,855000000,854000000,1300000000,605000000,629000000,1570000000,568000000,640000000,933000000,636000000,502000000,312000000,369000000,238000000,416000000,263000000,549000000,511000000,283000000,1040000000,1100000000,849000000,854000000,595000000,295000000,198000000,137000000,93000000,35000000,143000000,78000000,9000000,9000000,179000000,18000000,28000000,9000000,8000000,8000000,5000000,15000000,5000000,5000000,4000000,1000000,,,,,,,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27000000,1000000,,,12000000,81000000,14000000,112000000,,,,,0,,,,,,,1000000,,,0,,,
Norway,145000000,93000000,60000000,227000000,260000000,371000000,766000000,686000000,280000000,518000000,145000000,86000000,68000000,63000000,55000000,49000000,35000000,27000000,24000000,44000000,251000000,435000000,457000000,441000000,337000000,122000000,141000000,198000000,308000000,667000000,369000000,322000000,254000000,181000000,94000000,79000000,152000000,159000000,152000000,155000000,229000000,99000000,90000000,9000000,6000000,14000000,555000000,593000000,615000000,583000000,159000000,606000000,143000000,51000000,16000000,143000000,140000000,352000000,549000000,443000000
Oman,1000000,,,1000000,1000000,1000000,2000000,7000000,5000000,36000000,26000000,60000000,11000000,71000000,67000000,181000000,150000000,250000000,82000000,43000000,12000000,72000000,182000000,356000000,120000000,86000000,49000000,40000000,19000000,119000000,59000000,,,55000000,145000000,278000000,291000000,163000000,22000000,,118000000,33000000,40000000,36000000,41000000,170000000,298000000,12000000,72000000,93000000,30000000,21000000,120000000,490000000,715000000,127000000,423000000,777000000,277000000,105000000
Pakistan,42000000,69000000,88000000,198000000,85000000,214000000,594000000,153000000,418000000,540000000,447000000,565000000,675000000,162000000,230000000,241000000,279000000,256000000,649000000,710000000,854000000,485000000,537000000,777000000,856000000,738000000,280000000,617000000,412000000,962000000,635000000,495000000,379000000,1000000000,886000000,366000000,503000000,692000000,704000000,878000000,186000000,423000000,563000000,650000000,477000000,443000000,360000000,692000000,1070000000,1190000000,2200000000,1130000000,1020000000,1100000000,834000000,786000000,840000000,851000000,792000000,561000000
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,,,,,,6000000,,,,,,,,,,,,,,,,,,,,,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000,1000000,9000000,,,,,,,,,,,2000000,,14000000,6000000,,,,,,,,,2000000
Panama,,,,,0,,,,0,3000000,15000000,18000000,2000000,16000000,,27000000,6000000,4000000,5000000,,3000000,4000000,13000000,8000000,0,7000000,,,23000000,2000000,,,2000000,,,,0,12000000,,,,,1000000,,,,,,,7000000,,,15000000,30000000,,,3000000,15000000,11000000,
Papua New Guinea,,,,,,,,,,,,,,,,32000000,,3000000,2000000,,,2000000,5000000,,3000000,,8000000,12000000,6000000,6000000,4000000,10000000,10000000,,1000000,,0,7000000,,,,,,,,,,,,,,,,,3000000,,,4000000,7000000,
Paraguay,10000000,,11000000,0,8000000,1000000,1000000,5000000,9000000,,0,1000000,12000000,0,,20000000,3000000,,10000000,1000000,18000000,5000000,3000000,1000000,3000000,34000000,4000000,,14000000,,6000000,3000000,1000000,,,,2000000,,,,,6000000,,,4000000,1000000,,,,,3000000,8000000,7000000,0,,,,,,2000000
Peru,191000000,96000000,14000000,24000000,18000000,53000000,65000000,28000000,197000000,89000000,35000000,157000000,160000000,449000000,572000000,550000000,378000000,939000000,776000000,642000000,710000000,870000000,278000000,324000000,362000000,257000000,248000000,613000000,241000000,16000000,97000000,107000000,124000000,42000000,175000000,46000000,124000000,312000000,52000000,97000000,24000000,4000000,16000000,22000000,47000000,368000000,193000000,172000000,,43000000,46000000,63000000,10000000,22000000,152000000,212000000,222000000,64000000,92000000,
Philippines,51000000,45000000,11000000,4000000,2000000,97000000,87000000,41000000,17000000,26000000,9000000,90000000,52000000,117000000,53000000,146000000,262000000,187000000,162000000,92000000,75000000,44000000,17000000,117000000,39000000,23000000,,26000000,12000000,19000000,33000000,34000000,43000000,61000000,71000000,27000000,40000000,70000000,64000000,,,10000000,5000000,10000000,34000000,12000000,23000000,16000000,10000000,1000000,3000000,63000000,16000000,78000000,12000000,153000000,230000000,278000000,18000000,187000000
Poland,853000000,849000000,688000000,1000000000,1570000000,1160000000,981000000,746000000,866000000,948000000,948000000,940000000,866000000,1060000000,1080000000,971000000,790000000,930000000,1120000000,1130000000,1090000000,811000000,724000000,528000000,462000000,918000000,1380000000,1020000000,896000000,498000000,227000000,76000000,95000000,8000000,72000000,248000000,105000000,1000000,3000000,25000000,148000000,33000000,256000000,350000000,226000000,115000000,465000000,992000000,597000000,171000000,159000000,88000000,232000000,154000000,254000000,133000000,45000000,153000000,122000000,308000000
Portugal,31000000,151000000,29000000,41000000,45000000,63000000,236000000,298000000,388000000,359000000,371000000,177000000,17000000,17000000,117000000,326000000,64000000,94000000,128000000,5000000,36000000,50000000,190000000,4000000,109000000,155000000,5000000,9000000,90000000,136000000,73000000,1020000000,19000000,361000000,453000000,20000000,7000000,0,16000000,3000000,2000000,19000000,,29000000,70000000,158000000,220000000,60000000,144000000,370000000,894000000,170000000,40000000,13000000,3000000,1000000,21000000,12000000,26000000,44000000
Qatar,,,,,,,,,2000000,3000000,6000000,16000000,,,,38000000,26000000,55000000,16000000,14000000,55000000,46000000,128000000,470000000,328000000,2000000,2000000,57000000,91000000,10000000,5000000,17000000,64000000,11000000,10000000,11000000,201000000,242000000,300000000,72000000,14000000,11000000,11000000,11000000,,,,27000000,,286000000,30000000,198000000,319000000,73000000,55000000,520000000,903000000,667000000,596000000,2260000000
Romania,113000000,27000000,181000000,227000000,418000000,518000000,401000000,442000000,603000000,411000000,573000000,487000000,513000000,551000000,695000000,658000000,295000000,349000000,298000000,645000000,528000000,478000000,448000000,285000000,241000000,332000000,450000000,215000000,193000000,276000000,606000000,63000000,184000000,14000000,29000000,2000000,39000000,61000000,170000000,142000000,21000000,24000000,21000000,17000000,285000000,437000000,61000000,98000000,76000000,56000000,107000000,80000000,21000000,20000000,0,22000000,177000000,83000000,36000000,61000000
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000000,,,,,,,,,,,,,,4000000,100000000,,8000000,25000000,10000000,121000000,183000000,218000000,85000000,145000000,93000000,26000000,
Rwanda,,,5000000,,0,0,,,,,,0,0,2000000,1000000,3000000,,1000000,,,,,,4000000,6000000,3000000,2000000,,2000000,,1000000,2000000,5000000,,,,1000000,2000000,9000000,20000000,14000000,,,,,,3000000,20000000,8000000,11000000,,,5000000,15000000,14000000,27000000,,8000000,3000000,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000000
Saudi Arabia,17000000,12000000,22000000,,5000000,48000000,229000000,210000000,456000000,383000000,54000000,10000000,101000000,182000000,375000000,474000000,607000000,946000000,1010000000,762000000,1090000000,1810000000,2220000000,1820000000,835000000,1330000000,2850000000,2010000000,783000000,1380000000,2070000000,1040000000,1130000000,2380000000,981000000,983000000,1730000000,2790000000,2900000000,1580000000,85000000,61000000,567000000,167000000,1170000000,167000000,206000000,230000000,391000000,824000000,1080000000,1220000000,1030000000,1610000000,2740000000,3380000000,2950000000,3930000000,3760000000,3670000000
Senegal,0,8000000,,0,4000000,0,1000000,,1000000,19000000,,12000000,,1000000,17000000,,14000000,41000000,20000000,29000000,,,7000000,38000000,4000000,,14000000,18000000,,,,,,,1000000,6000000,,,,,,,,,,15000000,9000000,18000000,6000000,4000000,4000000,20000000,,5000000,7000000,16000000,40000000,47000000,12000000,31000000
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000,2000000,2000000,8000000,1000000,13000000,6000000,1000000,1000000,27000000,,,,,,,,,16000000,,0,,,,14000000,65000000,3000000,171000000
Seychelles,,,,,,,,,,,,,,,,,,1000000,,19000000,6000000,1000000,2000000,15000000,,,10000000,,1000000,,0,,,,,,,,,,,,,,,15000000,,,,,,7000000,,7000000,16000000,,8000000,,7000000,
Sierra Leone,,,,,,,,,,,,,,28000000,,,1000000,,2000000,,42000000,,,1000000,3000000,,,18000000,,,,,1000000,,6000000,14000000,,16000000,,12000000,,,,,,,9000000,,,,,2000000,0,1000000,,0,1000000,,,
Singapore,,,,,,1000000,8000000,,6000000,139000000,92000000,165000000,177000000,99000000,295000000,255000000,254000000,171000000,50000000,338000000,410000000,167000000,176000000,245000000,83000000,123000000,75000000,277000000,546000000,238000000,527000000,375000000,112000000,170000000,183000000,306000000,171000000,624000000,816000000,313000000,798000000,255000000,236000000,86000000,379000000,541000000,72000000,358000000,1120000000,1430000000,958000000,900000000,748000000,748000000,65000000,147000000,631000000,429000000,592000000,614000000
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146000000,29000000,208000000,29000000,,,,0,,27000000,,,4000000,,0,0,9000000,9000000,,2000000,5000000,,,,47000000,34000000,36000000
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,10000000,22000000,11000000,22000000,20000000,8000000,4000000,18000000,2000000,41000000,2000000,17000000,17000000,3000000,3000000,2000000,,7000000,40000000,28000000,,,1000000,,,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000,,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000000
Somalia,10000000,2000000,0,11000000,,30000000,52000000,72000000,4000000,1000000,,0,21000000,165000000,290000000,128000000,180000000,44000000,57000000,48000000,120000000,97000000,61000000,23000000,12000000,42000000,15000000,,,,16000000,,,,,,,,,1000000,,,,,,,,,,,,,,3000000,,1000000,2000000,2000000,,8000000
South Africa,13000000,,215000000,476000000,266000000,353000000,468000000,260000000,179000000,173000000,474000000,272000000,227000000,316000000,184000000,223000000,415000000,507000000,390000000,130000000,200000000,122000000,49000000,226000000,127000000,29000000,211000000,16000000,7000000,13000000,13000000,27000000,363000000,244000000,239000000,38000000,38000000,11000000,,21000000,6000000,18000000,,,,267000000,785000000,954000000,493000000,134000000,180000000,212000000,132000000,2000000,50000000,2000000,,,,
South Korea,252000000,254000000,131000000,203000000,268000000,623000000,569000000,125000000,345000000,494000000,76000000,240000000,375000000,253000000,446000000,647000000,552000000,1190000000,375000000,1350000000,918000000,888000000,677000000,493000000,520000000,753000000,859000000,763000000,1210000000,1840000000,1210000000,904000000,785000000,1010000000,1020000000,1960000000,1980000000,1230000000,1430000000,1650000000,1400000000,775000000,531000000,755000000,1060000000,808000000,1650000000,1730000000,1690000000,797000000,1280000000,1580000000,1080000000,185000000,723000000,272000000,1060000000,1060000000,1110000000,1510000000
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37000000,44000000,1000000,2000000,61000000,2000000,9000000,35000000,19000000,8000000,,,
Spain,231000000,112000000,55000000,14000000,60000000,401000000,277000000,279000000,128000000,187000000,237000000,601000000,751000000,906000000,580000000,1190000000,831000000,280000000,492000000,658000000,691000000,631000000,517000000,609000000,88000000,338000000,1110000000,1110000000,1960000000,859000000,709000000,112000000,212000000,303000000,858000000,359000000,427000000,214000000,85000000,371000000,328000000,153000000,277000000,254000000,315000000,363000000,315000000,339000000,349000000,231000000,288000000,168000000,224000000,155000000,109000000,135000000,86000000,87000000,138000000,56000000
Sri Lanka,4000000,,,,0,,,,,2000000,,33000000,47000000,,,1000000,0,17000000,7000000,,18000000,,,,52000000,42000000,27000000,110000000,19000000,5000000,19000000,166000000,22000000,35000000,74000000,64000000,210000000,50000000,85000000,64000000,297000000,161000000,45000000,35000000,49000000,58000000,97000000,92000000,79000000,21000000,4000000,21000000,,20000000,5000000,,,45000000,99000000,59000000
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,9000000,15000000,19000000,8000000,36000000,5000000,5000000,2000000,16000000,177000000,595000000,87000000,69000000,23000000,3000000,,,26000000,208000000,4000000,3000000,204000000,90000000,25000000,106000000,65000000,9000000,122000000,77000000,16000000,3000000,81000000,6000000,,,3000000,27000000,63000000,,36000000,,106000000,49000000,204000000,293000000,132000000,69000000,33000000,128000000,89000000,182000000,173000000,95000000,130000000,61000000,124000000,109000000,68000000,34000000,
Suriname,,,,,,,,,,,,,,,,0,5000000,10000000,,,,0,2000000,,7000000,,5000000,2000000,,,,,,,,,,,,23000000,2000000,,,,,,,,,,,,0,7000000,,3000000,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,6000000,,,,,,,,,,,,,,,,,,,,,1000000,1000000,,,,,,,,,,,,,,,,,,
Sweden,159000000,87000000,133000000,307000000,397000000,289000000,280000000,326000000,226000000,138000000,108000000,86000000,161000000,231000000,256000000,292000000,214000000,100000000,197000000,247000000,246000000,452000000,171000000,179000000,106000000,77000000,154000000,159000000,125000000,105000000,90000000,49000000,60000000,39000000,297000000,95000000,95000000,195000000,294000000,224000000,204000000,165000000,76000000,64000000,47000000,78000000,129000000,51000000,53000000,17000000,11000000,191000000,207000000,56000000,45000000,14000000,70000000,46000000,7000000,9000000
Switzerland,219000000,37000000,4000000,50000000,261000000,226000000,362000000,165000000,188000000,157000000,135000000,149000000,186000000,116000000,64000000,138000000,143000000,5000000,214000000,222000000,269000000,290000000,172000000,437000000,399000000,337000000,108000000,151000000,179000000,319000000,440000000,476000000,388000000,104000000,119000000,93000000,187000000,379000000,436000000,507000000,23000000,68000000,63000000,117000000,203000000,168000000,83000000,108000000,18000000,39000000,48000000,32000000,11000000,6000000,5000000,12000000,73000000,34000000,10000000,13000000
