country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bolivia,6000000,4000000,2000000,4000000,2000000,1000000,1000000,14000000,16000000,1000000,2000000,2000000,13000000,10000000,20000000,33000000,16000000,1000000,11000000,49000000,39000000,26000000,6000000,,,18000000,13000000,,56000000,66000000,,11000000,25000000,16000000,9000000,2000000,,,,9000000,19000000,,,5000000,1000000,1000000,9000000,2000000,3000000,5000000,1000000,25000000,12000000,1000000,46000000,,27000000,7000000,1000000,34000000
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000,6000000,,58000000,70000000,2000000,25000000,,,,,,,,,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,1000000,1000000,7000000,2000000,9000000,,,,4000000,,26000000,40000000,4000000,22000000,2000000,2000000,11000000,,11000000,32000000,71000000,2000000,,53000000,15000000,1000000,10000000,9000000,,,,,13000000,10000000,,6000000,8000000,,,5000000,3000000,4000000,2000000
Brazil,237000000,212000000,62000000,128000000,25000000,150000000,57000000,218000000,236000000,110000000,219000000,181000000,514000000,602000000,256000000,539000000,582000000,554000000,895000000,407000000,367000000,64000000,75000000,92000000,125000000,89000000,140000000,234000000,129000000,745000000,150000000,168000000,90000000,58000000,313000000,248000000,545000000,473000000,239000000,365000000,121000000,631000000,223000000,110000000,86000000,224000000,179000000,189000000,180000000,156000000,311000000,306000000,328000000,223000000,209000000,219000000,109000000,100000000,272000000,169000000
Brunei,,,,,,5000000,1000000,18000000,1000000,,5000000,18000000,2000000,1000000,15000000,1000000,0,,46000000,65000000,,8000000,12000000,85000000,60000000,,13000000,,,,3000000,3000000,,,,,17000000,31000000,7000000,5000000,,4000000,1000000,0,0,1000000,2000000,,,33000000,33000000,229000000,22000000,15000000,122000000,36000000,,,,
Bulgaria,474000000,523000000,494000000,538000000,326000000,372000000,218000000,329000000,250000000,532000000,765000000,395000000,465000000,290000000,305000000,394000000,375000000,492000000,885000000,322000000,574000000,961000000,575000000,728000000,910000000,598000000,918000000,435000000,243000000,334000000,758000000,340000000,41000000,1000000,1000000,1000000,122000000,,,7000000,,,,2000000,12000000,132000000,22000000,48000000,116000000,119000000,8000000,29000000,5000000,,,3000000,,,,2000000
Burkina Faso,,1000000,,,1000000,0,0,,0,1000000,1000000,1000000,,,,8000000,8000000,9000000,,,0,9000000,1000000,16000000,9000000,2000000,3000000,,12000000,,,2000000,,7000000,,,,,,0,,,,,,12000000,3000000,4000000,,2000000,0,15000000,4000000,,5000000,,7000000,2000000,23000000,7000000
Burundi,,,,,,,5000000,2000000,,3000000,,,,0,,,,,,,1000000,5000000,3000000,9000000,2000000,,,,,6000000,6000000,,,,,,,,,,,1000000,3000000,,,,,,,1000000,2000000,,5000000,,,1000000,2000000,,,
Cambodia,1000000,2000000,5000000,11000000,39000000,39000000,37000000,20000000,15000000,18000000,6000000,22000000,106000000,123000000,23000000,,,,43000000,,34000000,,,13000000,67000000,68000000,134000000,50000000,10000000,119000000,45000000,,,2000000,72000000,1000000,28000000,21000000,,,,,,,,,14000000,56000000,,4000000,34000000,,77000000,67000000,,,,,5000000,2000000
Cameroon,,0,,2000000,0,2000000,2000000,3000000,3000000,,,8000000,1000000,12000000,,,29000000,73000000,,1000000,,28000000,114000000,5000000,126000000,16000000,11000000,5000000,1000000,3000000,8000000,,3000000,,,,4000000,6000000,9000000,4000000,,7000000,6000000,,,5000000,2000000,,1000000,,10000000,,9000000,139000000,122000000,9000000,20000000,8000000,2000000,15000000
Canada,171000000,1580000000,1230000000,1010000000,728000000,527000000,273000000,243000000,324000000,504000000,611000000,455000000,382000000,80000000,224000000,195000000,28000000,28000000,172000000,235000000,441000000,452000000,276000000,649000000,646000000,848000000,810000000,787000000,742000000,67000000,160000000,751000000,410000000,201000000,482000000,411000000,431000000,362000000,130000000,198000000,570000000,538000000,436000000,152000000,353000000,118000000,105000000,446000000,398000000,101000000,228000000,336000000,197000000,202000000,316000000,408000000,233000000,334000000,157000000,200000000
Cape Verde,,,,,,,,,,,,,,,,,2000000,,,18000000,,,26000000,,,,,,,,,,3000000,,,,,,9000000,,1000000,,,,,,,,,2000000,,,10000000,,,,,,,3000000
Central African Republic,,2000000,,,,1000000,2000000,,3000000,,,2000000,,0,,,,,0,,0,1000000,2000000,5000000,1000000,6000000,,,1000000,,,,1000000,,,,,,,,,,,,,,9000000,,0,,,7000000,,,,,,,1000000,
Chad,1000000,1000000,,,,0,,,,,,4000000,,3000000,9000000,10000000,8000000,3000000,,,10000000,,,33000000,9000000,1000000,22000000,21000000,9000000,57000000,,,,,3000000,1000000,,,7000000,7000000,,16000000,,,,,17000000,20000000,75000000,35000000,38000000,1000000,4000000,59000000,58000000,1000000,2000000,6000000,3000000,1000000
Chile,312000000,46000000,19000000,127000000,34000000,57000000,84000000,140000000,62000000,13000000,57000000,198000000,51000000,278000000,299000000,195000000,413000000,58000000,155000000,136000000,145000000,148000000,344000000,140000000,450000000,10000000,174000000,156000000,90000000,141000000,130000000,111000000,173000000,88000000,82000000,342000000,178000000,296000000,87000000,207000000,202000000,60000000,74000000,187000000,70000000,449000000,1100000000,662000000,397000000,335000000,475000000,326000000,62000000,54000000,141000000,144000000,40000000,50000000,70000000,15000000
China,2430000000,936000000,307000000,450000000,395000000,218000000,233000000,145000000,182000000,2000000,2000000,2000000,2000000,3000000,3000000,3000000,3000000,75000000,86000000,12000000,7000000,2000000,15000000,27000000,73000000,115000000,17000000,53000000,106000000,201000000,303000000,481000000,1230000000,1240000000,325000000,730000000,1550000000,951000000,403000000,1750000000,2520000000,2820000000,2880000000,2340000000,3280000000,3580000000,2860000000,1650000000,1860000000,1390000000,1020000000,1090000000,1600000000,1320000000,1060000000,1270000000,1140000000,1370000000,1630000000,887000000
Colombia,5000000,62000000,3000000,29000000,9000000,18000000,32000000,15000000,32000000,121000000,4000000,35000000,129000000,165000000,1000000,287000000,10000000,8000000,12000000,36000000,12000000,28000000,18000000,301000000,661000000,7000000,6000000,4000000,37000000,220000000,13000000,72000000,36000000,68000000,42000000,35000000,49000000,190000000,162000000,44000000,60000000,268000000,171000000,147000000,18000000,16000000,52000000,227000000,110000000,248000000,255000000,145000000,207000000,164000000,160000000,205000000,21000000,99000000,16000000,10000000
Comoros,,,,,,,,,,,,,,,,,1000000,1000000,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,6000000,,,,1000000,,,,,,,
"Congo, Dem. Rep.",2000000,9000000,13000000,32000000,83000000,31000000,26000000,16000000,7000000,28000000,19000000,155000000,15000000,5000000,9000000,391000000,132000000,31000000,38000000,15000000,10000000,12000000,15000000,5000000,16000000,1000000,1000000,36000000,1000000,,4000000,,2000000,,,0,61000000,6000000,10000000,46000000,88000000,15000000,12000000,,,19000000,17000000,,18000000,44000000,151000000,,10000000,1000000,,2000000,43000000,,,
"Congo, Rep.",1000000,1000000,,0,,0,,,1000000,24000000,9000000,27000000,2000000,,7000000,2000000,2000000,,35000000,25000000,17000000,3000000,11000000,25000000,25000000,3000000,,,28000000,44000000,44000000,,,,,,,27000000,0,1000000,0,,,,,4000000,1000000,0,,1000000,27000000,,23000000,12000000,13000000,2000000,,,,
Costa Rica,,,,1000000,,,0,,,,,,,2000000,,3000000,,,6000000,2000000,1000000,,,,0,2000000,1000000,,,2000000,,,,3000000,,,,,,,,,,,,,,,,,,,1000000,,1000000,,,,,
Cote d'Ivoire,,3000000,1000000,1000000,,,2000000,3000000,19000000,2000000,7000000,17000000,1000000,,18000000,,,22000000,16000000,38000000,55000000,18000000,,,9000000,,,,,2000000,,,0,,,2000000,,0,,2000000,0,,31000000,61000000,9000000,,,,,,,,,,5000000,5000000,5000000,14000000,9000000,14000000
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,27000000,27000000,53000000,1000000,15000000,31000000,,,,57000000,2000000,24000000,8000000,,,19000000,99000000,4000000,11000000,19000000,19000000,,27000000,11000000,20000000,13000000,2000000,5000000
Cuba,129000000,529000000,1310000000,284000000,248000000,130000000,232000000,162000000,155000000,155000000,155000000,162000000,462000000,430000000,418000000,200000000,317000000,615000000,509000000,416000000,353000000,995000000,981000000,775000000,423000000,352000000,281000000,73000000,167000000,94000000,169000000,159000000,,,,,,,,,,,,,8000000,,,,,,,,,,,,,,,
Cyprus,,,,,18000000,22000000,,,,,,,,9000000,,,,,,,,,5000000,19000000,23000000,32000000,38000000,33000000,122000000,29000000,70000000,82000000,26000000,10000000,39000000,33000000,170000000,98000000,7000000,113000000,4000000,115000000,1000000,6000000,16000000,20000000,26000000,17000000,,,44000000,41000000,6000000,,,,,30000000,,0
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,25000000,6000000,0,1000000,13000000,57000000,42000000,94000000,7000000,594000000,45000000,10000000,23000000,6000000,13000000,71000000,22000000,15000000,,0,,,7000000,8000000
Denmark,109000000,335000000,57000000,133000000,482000000,449000000,66000000,72000000,71000000,19000000,312000000,362000000,111000000,,39000000,149000000,360000000,372000000,367000000,57000000,569000000,567000000,559000000,231000000,72000000,92000000,16000000,99000000,99000000,185000000,124000000,151000000,71000000,46000000,85000000,133000000,71000000,77000000,116000000,68000000,50000000,146000000,45000000,54000000,224000000,116000000,83000000,146000000,93000000,130000000,17000000,,105000000,38000000,173000000,42000000,109000000,58000000,50000000,
Djibouti,,,,,,,,,,,,,,,,,,3000000,6000000,33000000,5000000,2000000,3000000,3000000,,1000000,8000000,1000000,,,,1000000,19000000,5000000,,2000000,,,,,1000000,,3000000,,4000000,7000000,,,,,,,6000000,5000000,14000000,1000000,18000000,,,8000000
Dominican Republic,19000000,11000000,0,7000000,5000000,10000000,9000000,1000000,1000000,0,1000000,2000000,7000000,0,,2000000,12000000,,,,9000000,5000000,31000000,,25000000,2000000,0,,3000000,,,,,,,,4000000,,6000000,1000000,13000000,5000000,0,8000000,35000000,2000000,,,,10000000,51000000,12000000,,,,1000000,0,,,
Ecuador,66000000,,,3000000,3000000,29000000,9000000,21000000,5000000,1000000,5000000,81000000,35000000,15000000,22000000,40000000,226000000,572000000,191000000,109000000,257000000,123000000,257000000,388000000,349000000,23000000,25000000,40000000,26000000,20000000,3000000,139000000,4000000,18000000,9000000,36000000,30000000,95000000,27000000,17000000,,10000000,1000000,,15000000,48000000,17000000,2000000,102000000,77000000,90000000,68000000,88000000,11000000,53000000,27000000,26000000,20000000,5000000,2000000
Egypt,143000000,544000000,686000000,737000000,843000000,950000000,1530000000,2200000000,1260000000,1230000000,1670000000,1980000000,3300000000,2590000000,1100000000,571000000,165000000,415000000,135000000,630000000,1000000000,1180000000,2490000000,1710000000,1500000000,969000000,1480000000,1640000000,419000000,295000000,562000000,884000000,972000000,1260000000,2020000000,1720000000,981000000,1040000000,480000000,514000000,837000000,832000000,719000000,630000000,654000000,797000000,722000000,690000000,333000000,159000000,686000000,630000000,281000000,675000000,420000000,1440000000,1680000000,2410000000,1670000000,1190000000
El Salvador,,,,0,,1000000,1000000,0,20000000,8000000,9000000,1000000,,1000000,29000000,46000000,15000000,8000000,1000000,8000000,12000000,5000000,35000000,12000000,62000000,44000000,5000000,,,,,21000000,4000000,2000000,,4000000,4000000,,2000000,,,,19000000,10000000,,,,,3000000,,,,2000000,,20000000,,1000000,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,4000000,,1000000,,5000000,,,,,,,,,,,,,,,,,3000000,,7000000,,,7000000,12000000,7000000,28000000,30000000,68000000,3000000,57000000,65000000,2000000,92000000,,,,7000000,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21000000,18000000,7000000,41000000,53000000,214000000,31000000,20000000,57000000,18000000,17000000,80000000,98000000,,4000000,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,3000000,15000000,17000000,1000000,12000000,4000000,1000000,27000000,,1000000,13000000,8000000,20000000,7000000,19000000,29000000,43000000,13000000,1000000,2000000,18000000,2000000,18000000,29000000,33000000,17000000,30000000
Ethiopia,24000000,4000000,21000000,27000000,4000000,14000000,99000000,30000000,33000000,24000000,89000000,54000000,33000000,5000000,16000000,58000000,135000000,1100000000,982000000,113000000,330000000,328000000,521000000,370000000,285000000,259000000,360000000,251000000,155000000,47000000,3000000,80000000,,,,,,69000000,211000000,155000000,140000000,,20000000,174000000,239000000,,,,,,54000000,76000000,193000000,153000000,33000000,10000000,5000000,1000000,10000000,71000000
Fiji,,,,,,,,,,,,,,,,8000000,4000000,,,,,,,,,,,,,,1000000,,3000000,,6000000,12000000,,,,,,,,,,,,,,,,,,,,,,1000000,,
