country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000000,7000000,,93000000,,,,,,,,,,2000000,2000000,,
Turkey,,,,,,,,,,,,,,,,,,,,,23000000,11000000,,,,,,,,,,,,,,3000000,3000000,0,3000000,43000000,19000000,5000000,26000000,42000000,28000000,23000000,82000000,66000000,111000000,63000000,72000000,86000000,143000000,156000000,165000000,248000000,232000000,171000000,265000000,245000000
Uganda,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165000000,82000000,236000000,167000000,256000000,558000000,708000000,732000000,270000000,511000000,310000000,306000000,199000000,291000000,531000000,644000000,392000000,433000000,485000000,570000000,1500000000,674000000,622000000,343000000,486000000,307000000,195000000,91000000
United Arab Emirates,,,,,,,,,,,,,,,8000000,,,,,,,,,14000000,,,22000000,1000000,,,2000000,,,,,28000000,6000000,32000000,,,,,,,3000000,11000000,17000000,3000000,,34000000,39000000,3000000,69000000,106000000,73000000,131000000,92000000,97000000,113000000,104000000
United Kingdom,2150000000,1170000000,1120000000,1300000000,1410000000,1470000000,1340000000,1980000000,1620000000,1760000000,887000000,2190000000,2460000000,2750000000,2340000000,2420000000,2490000000,2190000000,2200000000,1500000000,1700000000,2430000000,2570000000,2560000000,2550000000,2120000000,1970000000,3600000000,2550000000,3550000000,1870000000,1520000000,1180000000,1420000000,1540000000,1480000000,1660000000,2380000000,1410000000,1370000000,1630000000,1390000000,1100000000,754000000,1220000000,1060000000,997000000,984000000,987000000,1080000000,1160000000,1060000000,929000000,1610000000,1650000000,1180000000,1380000000,1230000000,699000000,972000000
United States,6060000000,6400000000,5930000000,9020000000,12200000000,11200000000,8410000000,7260000000,8450000000,11800000000,9010000000,11700000000,10800000000,12000000000,12800000000,15700000000,15700000000,14400000000,14100000000,9720000000,10700000000,13600000000,14000000000,13900000000,11900000000,10800000000,11700000000,12300000000,11900000000,11300000000,10700000000,12500000000,14100000000,13900000000,11500000000,11200000000,10900000000,14500000000,15700000000,11600000000,7580000000,5610000000,4950000000,5660000000,6840000000,6770000000,7520000000,7830000000,6800000000,6870000000,8030000000,8990000000,9070000000,7510000000,9610000000,9960000000,9860000000,12100000000,10400000000,10800000000
Uruguay,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252000000,126000000,4000000,,,,209000000,209000000,209000000,,,,34000000,68000000,,,
Venezuela,,,,,,,,,,17000000,,,,,,13000000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1000000,,7000000,,3000000,40000000,,,,,,,,,,
Vietnam,,,,,,,,,,,,,0,,,,,,,,,,,,,,,11000000,,,,,,,,,,,,,,,,,,,14000000,,,,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,6000000,,,,,,,,,,,51000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,,,,,3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000,,,,,,,,,,,,,,,,,,
