country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cote d'Ivoire,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,,,,,,,,3000000,,
Cuba,,,,,,,,,,,,,,,,1000000,,,12000000,10000000,8000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36000000,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202000000,319000000,143000000,126000000,24000000,21000000,57000000,81000000,88000000,60000000,64000000,1000000,70000000,44000000,32000000,32000000,23000000,4000000,10000000,8000000,40000000,26000000,150000000,148000000,88000000,88000000,13000000
Denmark,20000000,,,,60000000,20000000,,131000000,28000000,3000000,,,,,,23000000,,,,,18000000,29000000,64000000,115000000,,,,117000000,40000000,,72000000,10000000,,183000000,272000000,16000000,,,1000000,6000000,20000000,1000000,10000000,5000000,,,9000000,6000000,17000000,14000000,8000000,30000000,33000000,9000000,17000000,25000000,25000000,21000000,28000000,4000000
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000,,,,2000000,
Egypt,,0,7000000,8000000,2000000,,13000000,3000000,26000000,15000000,39000000,,,,,16000000,,69000000,80000000,13000000,29000000,77000000,81000000,71000000,37000000,5000000,19000000,61000000,65000000,63000000,20000000,,13000000,22000000,15000000,9000000,5000000,5000000,,,,,,,,,,,,,,,,,7000000,22000000,,,,2000000
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,0,,,,,,,0,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000,,,,,,,,,,,,,,,,,,,0,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,35000000,,51000000,,,,,,,,,,17000000,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,60000000,1000000,1000000,,,1000000,86000000,33000000,33000000,33000000,2000000,39000000,30000000,,63000000,63000000,,,63000000,63000000,,,20000000,,,,,,1000000,,,22000000,11000000,17000000,26000000,26000000,9000000,10000000,34000000,28000000,12000000,33000000,34000000,40000000,34000000,52000000,138000000,77000000,79000000,52000000,61000000,41000000,104000000,77000000,93000000,20000000,43000000,25000000,42000000,24000000
France,942000000,971000000,974000000,1230000000,1420000000,1200000000,1650000000,1530000000,1480000000,1460000000,1690000000,2300000000,2600000000,2880000000,2100000000,2190000000,2010000000,2680000000,3300000000,3010000000,3850000000,3790000000,3830000000,3460000000,3010000000,4040000000,3020000000,1800000000,1990000000,2290000000,1820000000,1200000000,1250000000,979000000,901000000,1020000000,1940000000,3270000000,3170000000,1820000000,1080000000,1420000000,1430000000,1400000000,2280000000,1820000000,1670000000,2370000000,1970000000,1890000000,866000000,1730000000,1010000000,1470000000,1630000000,2000000000,2040000000,2370000000,1770000000,3370000000
Gabon,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46000000,69000000,,69000000,,16000000,,,,,,,,,,,,6000000,7000000,,
Germany,156000000,12000000,146000000,133000000,438000000,332000000,713000000,775000000,574000000,739000000,1430000000,1360000000,1380000000,226000000,1210000000,1450000000,1660000000,1900000000,1670000000,1460000000,1590000000,1900000000,1530000000,2250000000,2800000000,1280000000,1370000000,924000000,1400000000,1290000000,1860000000,2400000000,1490000000,1490000000,2840000000,1510000000,1950000000,939000000,1810000000,1860000000,1610000000,896000000,906000000,1650000000,1110000000,2070000000,2760000000,3290000000,2360000000,2460000000,2660000000,1320000000,747000000,779000000,1790000000,1770000000,2510000000,1980000000,1070000000,1190000000
Ghana,,,,,,,,,,,,,,,,,,,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,19000000,,,,,,,,,,,,,,
Greece,,,,,7000000,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,15000000,10000000,18000000,,19000000,31000000,9000000,3000000,2000000,2000000,,6000000,22000000,13000000,23000000,,,,,,,,,,,30000000,,
